,rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N,n_weeks,candidate_pid
361,India SWE Recruiting,2023-07-16,,,,,IN_PROGRESS,1,4,[0 1],7fd9bf1ce6844687
362,India SWE Recruiting,2023-06-18,,6.0,9.0,9.0,IN_PROGRESS,9,1,[0 1 2 3 4 5 6 7 8 9],85d71202aff07ee8
364,India SWE Recruiting,2023-05-21,6.0,,,,IN_PROGRESS,1,1,[0 1],e2673526acbbfe9d
366,India SWE Recruiting,2023-04-23,,,,,IN_PROGRESS,12,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],cdf633c8a5c009f0
369,India SWE Recruiting,2023-07-23,5.0,,,,IN_PROGRESS,0,1,[0],c4d7ba29b95265ab
375,India SWE Recruiting,2022-06-19,,1.0,,,IN_PROGRESS,16,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],b42611356ef8095c
377,India SWE Recruiting,2022-12-18,7.0,37.0,,,IN_PROGRESS,21,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],60ef27ec879b14a0
385,India SWE Recruiting,2022-05-15,,5.0,60.0,60.0,IN_PROGRESS,60,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60]",addff3cb5154db70
386,India SWE Recruiting,2022-07-24,6.0,13.0,,,IN_PROGRESS,42,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42]",5d4a3acdfc8c75ed
390,India SWE Recruiting,2022-11-06,4.0,17.0,,,IN_PROGRESS,37,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37]",6d461b2f51e6720a
392,India SWE Recruiting,2022-07-03,,4.0,52.0,52.0,IN_PROGRESS,52,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52]",9456207f8974b8e4
398,India SWE Recruiting,2022-06-26,,2.0,,,IN_PROGRESS,50,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50]",719848a2b87c2bff
400,India SWE Recruiting,2022-07-24,4.0,6.0,,,IN_PROGRESS,49,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49]",d8ee75cc3359f895
401,India SWE Recruiting,2023-08-20,,,,,IN_PROGRESS,0,1,[0],6e5e706a880519b5
407,India SWE Recruiting,2023-06-18,,8.0,,,IN_PROGRESS,2,1,[0 1 2],5b59fef3a15237b0
411,India SWE Recruiting,2023-05-28,18.0,,,,IN_PROGRESS,5,1,[0 1 2 3 4 5],fdee0087bbb59686
414,India SWE Recruiting,2022-07-10,,3.0,57.0,57.0,IN_PROGRESS,57,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57]",d12d07f81d0db2db
415,India SWE Recruiting,2023-01-01,12.0,17.0,26.0,26.0,IN_PROGRESS,26,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26]",3d9e200bd9d1c5a7
418,India SWE Recruiting,2023-05-28,,,,,IN_PROGRESS,4,1,[0 1 2 3 4],771c7f887fa582fa
419,India SWE Recruiting,2023-07-16,2.0,3.0,,,IN_PROGRESS,0,1,[0],e556e1fb35bef9cd
424,India SWE Recruiting,2022-08-28,3.0,,,,IN_PROGRESS,24,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24]",b96a38b65b983ae7
425,India SWE Recruiting,2023-05-14,,,,,IN_PROGRESS,2,1,[0 1 2],c4b55d45059fe113
428,India SWE Recruiting,2023-07-30,,,3.0,3.0,IN_PROGRESS,3,1,[0 1 2 3],7aba2e55d886a787
433,India SWE Recruiting,2023-03-05,5.0,6.0,18.0,18.0,IN_PROGRESS,18,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],8bb11b0995c9498b
440,India SWE Recruiting,2023-06-18,,,3.0,3.0,IN_PROGRESS,3,1,[0 1 2 3],bc47cd9d50e733f9
441,India SWE Recruiting,2023-08-06,5.0,,,,IN_PROGRESS,1,1,[0 1],b5554288602f6598
444,India SWE Recruiting,2022-12-11,7.0,34.0,,,IN_PROGRESS,10,1,[ 0  1  2  3  4  5  6  7  8  9 10],cf804de560b9b7dd
445,India SWE Recruiting,2023-06-25,,,4.0,4.0,IN_PROGRESS,4,1,[0 1 2 3 4],0941afbbbfe32f80
480,India SWE Recruiting,2023-07-16,,,5.0,5.0,IN_PROGRESS,5,1,[0 1 2 3 4 5],4e5d91304d49a57c
488,India SWE Recruiting,2023-04-23,18.0,,,,IN_PROGRESS,6,1,[0 1 2 3 4 5 6],1e2e159d5cc8113a
492,India SWE Recruiting,2023-06-25,,,,,IN_PROGRESS,8,1,[0 1 2 3 4 5 6 7 8],46d483fb53df78c2
493,India SWE Recruiting,2023-06-18,6.0,11.0,,,IN_PROGRESS,2,1,[0 1 2],54e7e4fbd2df8720
495,India SWE Recruiting,2022-06-26,3.0,7.0,59.0,60.0,IN_PROGRESS,60,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60]",7de3539b510b6c59
497,India SWE Recruiting,2023-06-11,4.0,9.0,,,IN_PROGRESS,0,1,[0],1e4c0b3956ec8e16
498,India SWE Recruiting,2022-04-24,5.0,19.0,63.0,63.0,IN_PROGRESS,63,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63]",8e87fa1ed1914c6e
504,India SWE Recruiting,2022-07-24,3.0,4.0,,,IN_PROGRESS,42,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42]",3439450fd4993517
508,India SWE Recruiting,2023-01-29,,,,,IN_PROGRESS,16,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],108955c7fcbd9def
527,India SWE Recruiting,2023-06-18,,,9.0,9.0,IN_PROGRESS,9,2,[0 1 2 3 4 5 6 7 8 9],5efef528704ba056
528,India SWE Recruiting,2023-06-18,,,9.0,9.0,IN_PROGRESS,9,2,[0 1 2 3 4 5 6 7 8 9],0d14bf8ba110d879
529,India SWE Recruiting,2023-08-06,5.0,,,,IN_PROGRESS,0,1,[0],cf7fe40d88f02dec
530,India SWE Recruiting,2023-04-16,5.0,6.0,13.0,13.0,IN_PROGRESS,13,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13],942e034fe071a35f
535,India SWE Recruiting,2022-05-15,9.0,15.0,,,IN_PROGRESS,52,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52]",3232a23682c28af6
536,India SWE Recruiting,2023-07-23,8.0,,,,IN_PROGRESS,1,1,[0 1],eabf4cb7fbb2d5a1
544,India SWE Recruiting,2023-01-22,8.0,10.0,19.0,20.0,IN_PROGRESS,20,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],6852bcc3303666ed
548,India SWE Recruiting,2022-05-29,,2.0,,,IN_PROGRESS,37,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37]",841372a169985074
550,India SWE Recruiting,2023-06-11,,,,,IN_PROGRESS,0,1,[0],0546b096870ca404
559,India SWE Recruiting,2022-04-03,10.0,11.0,66.0,66.0,IN_PROGRESS,66,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66]",75009aac2a098523
562,India SWE Recruiting,2022-07-10,,5.0,,,IN_PROGRESS,55,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55]",5456127a5b385858
566,India SWE Recruiting,2023-06-25,9.0,,,,IN_PROGRESS,0,1,[0],7f36dabbb7a13fc9
567,India SWE Recruiting,2022-06-12,,2.0,,,IN_PROGRESS,26,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26]",0981d6df4c1be926
568,India SWE Recruiting,2022-06-19,2.0,3.0,,,IN_PROGRESS,17,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],5e621a36e70abf0d
569,India SWE Recruiting,2022-08-28,,0.0,46.0,47.0,IN_PROGRESS,47,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47]",d83ec303052af079
572,India SWE Recruiting,2023-01-22,,,,,IN_PROGRESS,16,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],538b4e63915f03bb
573,India SWE Recruiting,2023-06-04,,6.0,,,IN_PROGRESS,0,1,[0],566d73b2cc769fa4
611,India SWE Recruiting,2022-06-12,6.0,9.0,54.0,55.0,IN_PROGRESS,55,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55]",f1ffdd4d37ae8558
612,India SWE Recruiting,2022-07-10,4.0,6.0,57.0,57.0,IN_PROGRESS,57,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57]",4b9a3dddea1499dc
619,India SWE Recruiting,2023-07-09,,,,,IN_PROGRESS,6,1,[0 1 2 3 4 5 6],419730fc48d52b7a
621,India SWE Recruiting,2022-08-07,4.0,6.0,50.0,50.0,IN_PROGRESS,50,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50]",25bed89661932b28
622,India SWE Recruiting,2023-04-16,4.0,,,,IN_PROGRESS,4,1,[0 1 2 3 4],aa1bb8866de44ce6
672,India SWE Recruiting,2022-04-17,10.0,13.0,,,IN_PROGRESS,43,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43]",94bd614fee787c86
673,India SWE Recruiting,2022-05-08,4.0,10.0,,,IN_PROGRESS,34,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34]",5ba03de7c82b1de4
676,India SWE Recruiting,2023-07-02,9.0,,,,IN_PROGRESS,4,1,[0 1 2 3 4],5be866a9ae3b8e34
680,India SWE Recruiting,2022-03-27,4.0,7.0,,,IN_PROGRESS,66,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66]",e8c97577ee2cc1ac
682,India SWE Recruiting,2023-04-16,7.0,,,,IN_PROGRESS,15,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],b501e4df98184f18
683,India SWE Recruiting,2023-05-21,,3.0,9.0,10.0,IN_PROGRESS,10,1,[ 0  1  2  3  4  5  6  7  8  9 10],8e453801c11840e6
687,India SWE Recruiting,2023-06-04,,,8.0,8.0,IN_PROGRESS,8,1,[0 1 2 3 4 5 6 7 8],9a6fb87c07192ae3
688,India SWE Recruiting,2023-04-30,,,,,IN_PROGRESS,10,1,[ 0  1  2  3  4  5  6  7  8  9 10],8a2dae10d34aa6cb
690,India SWE Recruiting,2022-02-20,1.0,13.0,,,IN_PROGRESS,67,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67]",98d83a0841356ace
692,India SWE Recruiting,2023-03-26,,,,,IN_PROGRESS,5,1,[0 1 2 3 4 5],dea6a501d4275b37
693,India SWE Recruiting,2023-05-07,,10.0,15.0,15.0,IN_PROGRESS,15,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],4d77bca9a42f55e0
699,India SWE Recruiting,2022-12-04,9.0,37.0,,,IN_PROGRESS,15,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],c8d10e5fe8e3c5c6
701,India SWE Recruiting,2023-06-25,,3.0,,,IN_PROGRESS,1,1,[0 1],710240c915a692bf
704,India SWE Recruiting,2023-08-20,,,0.0,0.0,IN_PROGRESS,0,1,[0],852e742a58ea98b1
705,India SWE Recruiting,2023-07-09,,6.0,,,IN_PROGRESS,0,1,[0],90771b4b2246c54e
708,India SWE Recruiting,2022-07-24,5.0,10.0,55.0,56.0,IN_PROGRESS,56,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56]",e0776f7281b6fe65
709,India SWE Recruiting,2023-03-26,17.0,,,,IN_PROGRESS,17,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],7b3e0e2f44b9cd82
712,India SWE Recruiting,2023-02-19,23.0,,,,IN_PROGRESS,21,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],059b1767cc9f3537
715,India SWE Recruiting,2023-08-13,,,,,IN_PROGRESS,1,2,[0 1],7bb56164621fdfb5
716,India SWE Recruiting,2023-08-13,,,,,IN_PROGRESS,1,2,[0 1],aeade7512e478352
720,India SWE Recruiting,2022-04-24,17.0,,,,IN_PROGRESS,43,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43]",c77d8959ec1fc4ed
722,India SWE Recruiting,2023-07-02,,,4.0,4.0,IN_PROGRESS,4,2,[0 1 2 3 4],4691a3d3348e0f9e
723,India SWE Recruiting,2023-07-02,,,4.0,4.0,IN_PROGRESS,4,2,[0 1 2 3 4],e253558d59e73393
724,India SWE Recruiting,2022-05-08,5.0,10.0,,,IN_PROGRESS,53,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53]",8d178db8cf5b9a62
728,India SWE Recruiting,2022-07-17,10.0,,,,IN_PROGRESS,30,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]",f61078a503e19fff
729,India SWE Recruiting,2022-07-17,3.0,4.0,,,IN_PROGRESS,23,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23],8d65ec1e7deeb965
733,India SWE Recruiting,2023-06-04,,,,,IN_PROGRESS,0,1,[0],0ec180ff9b04d457
737,India SWE Recruiting,2022-06-26,,6.0,,,IN_PROGRESS,24,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24]",d12ec9e332ea91b5
739,India SWE Recruiting,2022-04-10,11.0,18.0,70.0,71.0,IN_PROGRESS,71,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71]",4bbaac255b9322d3
741,India SWE Recruiting,2023-07-09,,,,,IN_PROGRESS,3,2,[0 1 2 3],a6dba9fb1af46622
742,India SWE Recruiting,2023-07-09,,,,,IN_PROGRESS,3,2,[0 1 2 3],ed3e2df4cc8bcd1c
743,India SWE Recruiting,2023-03-26,5.0,,,,IN_PROGRESS,17,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],66e514d828e4a46f
749,India SWE Recruiting,2022-05-29,3.0,6.0,60.0,61.0,IN_PROGRESS,61,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59 60 61]",2ad0acb8686914f2
751,India SWE Recruiting,2022-04-17,5.0,29.0,,,IN_PROGRESS,43,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43]",4eff7677e9622897
753,India SWE Recruiting,2023-07-09,8.0,,,,IN_PROGRESS,0,1,[0],45acb0db42d29dd1
756,India SWE Recruiting,2022-07-24,,5.0,,,IN_PROGRESS,26,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26]",bbdedc420c39c70b
758,India SWE Recruiting,2022-03-20,,10.0,,,IN_PROGRESS,46,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46]",06cd75f6f7e52ed4
760,India SWE Recruiting,2023-06-25,,,,,IN_PROGRESS,1,1,[0 1],16551bb52cb16d29
761,India SWE Recruiting,2023-04-16,,,13.0,13.0,IN_PROGRESS,13,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13],6c2dd650be8e6dac
